"DIAG","DIAG_DESC","DIAG_C","DIAG_5"
103.30,"PINTA MIXED LESIONS","103.3","1033"
103.90,"PINTA NOS","103.9","1039"
104.00,"NONVENEREAL ENDEMIC SYPH","104.0","1040"
104.80,"SPIROCHETAL INFECT NEC","104.8","1048"
104.90,"SPIROCHETAL INFECT NOS","104.9","1049"
110.00,"DERMATOPHYT SCALP/BEARD","110.0","1100"
110.10,"DERMATOPHYTOSIS OF NAIL","110.1","1101"
110.20,"DERMATOPHYTOSIS OF HAND","110.2","1102"
110.30,"DERMATOPHYTOSIS OF GROIN","110.3","1103"
110.40,"DERMATOPHYTOSIS OF FOOT","110.4","1104"
110.50,"DERMATOPHYTOSIS OF BODY","110.5","1105"
110.60,"DEEP DERMATOPHYTOSIS","110.6","1106"
110.80,"DERMATOPHYTOSIS SITE NEC","110.8","1108"
110.90,"DERMATOPHYTOSIS SITE NOS","110.9","1109"
111.00,"PITYRIASIS VERSICOLOR","111.0","1110"
111.10,"TINEA NIGRA","111.1","1111"
111.20,"TINEA BLANCA","111.2","1112"
111.30,"BLACK PIEDRA","111.3","1113"
111.80,"DERMATOMYCOSES NEC","111.8","1118"
111.90,"DERMATOMYCOSIS NOS","111.9","1119"
112.00,"THRUSH","112.0","1120"
112.10,"CANDIDAL VULVOVAGINITIS","112.1","1121"
112.20,"CANDIDIAS UROGENITAL NEC","112.2","1122"
112.30,"CUTANEOUS CANDIDIASIS","112.3","1123"
112.40,"CANDIDIASIS OF LUNG","112.4","1124"
112.50,"DISSEMINATED CANDIDIASIS","112.5","1125"
112.81,"CANDIDAL ENDOCARDITIS","112.81","11281"
112.82,"CANDIDAL OTITIS EXTERNA","112.82","11282"
112.83,"CANDIDAL MENINGITIS","112.83","11283"
112.84,"ESOPHAGEAL CANDIDIASIS","112.84","11284"
112.85,"INTESTINAL CANDIDIASIS","112.85","11285"
112.89,"CANDIDIASIS SITE NEC","112.89","11289"
112.90,"CANDIDIASIS SITE NOS","112.9","1129"
114.00,"PRIMARY COCCIDIOIDOMYCOS","114.0","1140"
114.10,"PRIM CUTAN COCCIDIOID","114.1","1141"
114.20,"COCCIDIOIDAL MENINGITIS","114.2","1142"
114.30,"PROGRESS COCCIDIOID NEC","114.3","1143"
114.40,"CHRONIC PULM COCCIDIOID","114.4","1144"
114.50,"PULMONARY COCCIDIOID NOS","114.5","1145"
114.90,"COCCIDIOIDOMYCOSIS NOS","114.9","1149"
115.00,"HISTOPLASMA CAPSULAT NOS","115.00","11500"
115.01,"HISTOPLASM CAPSUL MENING","115.01","11501"
115.02,"HISTOPLASM CAPSUL RETINA","115.02","11502"
115.03,"HISTOPLASM CAPS PERICARD","115.03","11503"
115.04,"HISTOPLASM CAPS ENDOCARD","115.04","11504"
115.05,"HISTOPLASM CAPS PNEUMON","115.05","11505"
115.09,"HISTOPLASMA CAPSULAT NEC","115.09","11509"
115.10,"HISTOPLASMA DUBOISII NOS","115.10","11510"
115.11,"HISTOPLASM DUBOIS MENING","115.11","11511"
115.12,"HISTOPLASM DUBOIS RETINA","115.12","11512"
115.13,"HISTOPLASM DUB PERICARD","115.13","11513"
115.14,"HISTOPLASM DUB ENDOCARD","115.14","11514"
115.15,"HISTOPLASM DUB PNEUMONIA","115.15","11515"
115.19,"HISTOPLASMA DUBOISII NEC","115.19","11519"
115.90,"HISTOPLASMOSIS NOS","115.90","11590"
115.91,"HISTOPLASMOSIS MENINGIT","115.91","11591"
115.92,"HISTOPLASMOSIS RETINITIS","115.92","11592"
115.93,"HISTOPLASMOSIS PERICARD","115.93","11593"
115.94,"HISTOPLASMOSIS ENDOCARD","115.94","11594"
115.95,"HISTOPLASMOSIS PNEUMONIA","115.95","11595"
115.99,"HISTOPLASMOSIS NEC","115.99","11599"
116.00,"BLASTOMYCOSIS","116.0","1160"
116.10,"PARACOCCIDIOIDOMYCOSIS","116.1","1161"
116.20,"LOBOMYCOSIS","116.2","1162"
117.00,"RHINOSPORIDIOSIS","117.0","1170"
117.10,"SPOROTRICHOSIS","117.1","1171"
117.20,"CHROMOBLASTOMYCOSIS","117.2","1172"
117.30,"ASPERGILLOSIS","117.3","1173"
117.40,"MYCOTIC MYCETOMAS","117.4","1174"
117.50,"CRYPTOCOCCOSIS","117.5","1175"
117.60,"ALLESCHERIOSIS","117.6","1176"
117.70,"ZYGOMYCOSIS","117.7","1177"
117.80,"DEMATIACIOUS FUNGI INF","117.8","1178"
117.90,"MYCOSES NEC & NOS","117.9","1179"
118.00,"OPPORTUNISTIC MYCOSES","118","118"
120.00,"SCHISTOSOMA HAEMATOBIUM","120.0","1200"
120.10,"SCHISTOSOMA MANSONI","120.1","1201"
120.20,"SCHISTOSOMA JAPONICUM","120.2","1202"
120.30,"CUTANEOUS SCHISTOSOMA","120.3","1203"
120.80,"SCHISTOSOMIASIS NEC","120.8","1208"
120.90,"SCHISTOSOMIASIS NOS","120.9","1209"
121.00,"OPISTHORCHIASIS","121.0","1210"
121.10,"CLONORCHIASIS","121.1","1211"
121.20,"PARAGONIMIASIS","121.2","1212"
121.30,"FASCIOLIASIS","121.3","1213"
121.40,"FASCIOLOPSIASIS","121.4","1214"
121.50,"METAGONIMIASIS","121.5","1215"
121.60,"HETEROPHYIASIS","121.6","1216"
121.80,"TREMATODE INFECTION NEC","121.8","1218"
121.90,"TREMATODE INFECTION NOS","121.9","1219"
122.00,"ECHINOCOCC GRANUL LIVER","122.0","1220"
122.10,"ECHINOCOCC GRANUL LUNG","122.1","1221"
122.20,"ECHINOCOCC GRAN THYROID","122.2","1222"
122.30,"ECHINOCOCC GRANUL NEC","122.3","1223"
122.40,"ECHINOCOCC GRANUL NOS","122.4","1224"
122.50,"ECHINOCOC MULTILOC LIVER","122.5","1225"
122.60,"ECHINOCOCC MULTILOC NEC","122.6","1226"
122.70,"ECHINOCOCC MULTILOC NOS","122.7","1227"
122.80,"ECHINOCOCCOSIS NOS LIVER","122.8","1228"
122.90,"ECHINOCOCCOSIS NEC/NOS","122.9","1229"
123.00,"TAENIA SOLIUM INTESTINE","123.0","1230"
123.10,"CYSTICERCOSIS","123.1","1231"
123.20,"TAENIA SAGINATA INFECT","123.2","1232"
123.30,"TAENIASIS NOS","123.3","1233"
123.40,"DIPHYLLOBOTHRIAS INTEST","123.4","1234"
123.50,"SPARGANOSIS","123.5","1235"
123.60,"HYMENOLEPIASIS","123.6","1236"
123.80,"CESTODE INFECTION NEC","123.8","1238"
123.90,"CESTODE INFECTION NOS","123.9","1239"
124.00,"TRICHINOSIS","124","124"
125.00,"BANCROFTIAN FILARIASIS","125.0","1250"
125.10,"MALAYAN FILARIASIS","125.1","1251"
125.20,"LOIASIS","125.2","1252"
125.30,"ONCHOCERCIASIS","125.3","1253"
125.40,"DIPETALONEMIASIS","125.4","1254"
125.50,"MANSONELLA OZZARDI INFEC","125.5","1255"
125.60,"FILARIASIS NEC","125.6","1256"
125.70,"DRACONTIASIS","125.7","1257"
125.90,"FILARIASIS NOS","125.9","1259"
126.00,"ANCYLOSTOMA DUODENALE","126.0","1260"
126.10,"NECATOR AMERICANUS","126.1","1261"
126.20,"ANCYLOSTOMA BRAZILIENSE","126.2","1262"
126.30,"ANCYLOSTOMA CEYLANICUM","126.3","1263"
126.80,"ANCYLOSTOMA NEC","126.8","1268"
126.90,"ANCYLOSTOMIASIS NOS","126.9","1269"
127.00,"ASCARIASIS","127.0","1270"
127.10,"ANISAKIASIS","127.1","1271"
127.20,"STRONGYLOIDIASIS","127.2","1272"
127.30,"TRICHURIASIS","127.3","1273"
127.40,"ENTEROBIASIS","127.4","1274"
127.50,"CAPILLARIASIS","127.5","1275"
127.60,"TRICHOSTRONGYLIASIS","127.6","1276"
127.70,"INTEST HELMINTHIASIS NEC","127.7","1277"
127.80,"MIXED INTESTINE HELMINTH","127.8","1278"
127.90,"INTEST HELMINTHIASIS NOS","127.9","1279"
128.00,"TOXOCARIASIS","128.0","1280"
128.10,"GNATHOSTOMIASIS","128.1","1281"
128.80,"HELMINTHIASIS NEC","128.8","1288"
128.90,"HELMINTHIASIS NOS","128.9","1289"
129.00,"INTESTIN PARASITISM NOS","129","129"
130.00,"TOXOPLASM MENINGOENCEPH","130.0","1300"
130.10,"TOXOPLASM CONJUNCTIVITIS","130.1","1301"
130.20,"TOXOPLASM CHORIORETINIT","130.2","1302"
130.30,"TOXOPLASMA MYOCARDITIS","130.3","1303"
130.40,"TOXOPLASMA PNEUMONITIS","130.4","1304"
130.50,"TOXOPLASMA HEPATITIS","130.5","1305"
130.70,"TOXOPLASMOSIS SITE NEC","130.7","1307"
130.80,"MULTISYSTEM TOXOPLASMOS","130.8","1308"
130.90,"TOXOPLASMOSIS NOS","130.9","1309"
131.00,"UROGENITAL TRICHOMON NOS","131.00","13100"
131.01,"TRICHOMONAL VAGINITIS","131.01","13101"
131.02,"TRICHOMONAL URETHRITIS","131.02","13102"
131.03,"TRICHOMONAL PROSTATITIS","131.03","13103"
131.09,"UROGENITAL TRICHOMON NEC","131.09","13109"
131.80,"TRICHOMONIASIS NEC","131.8","1318"
131.90,"TRICHOMONIASIS NOS","131.9","1319"
132.00,"PEDICULUS CAPITIS","132.0","1320"
132.10,"PEDICULUS CORPORIS","132.1","1321"
132.20,"PHTHIRUS PUBIS","132.2","1322"
132.30,"MIXED PEDICUL & PHTHIRUS","132.3","1323"
132.90,"PEDICULOSIS NOS","132.9","1329"
133.00,"SCABIES","133.0","1330"
133.80,"ACARIASIS NEC","133.8","1338"
133.90,"ACARIASIS NOS","133.9","1339"
134.00,"MYIASIS","134.0","1340"
134.10,"ARTHROPOD INFEST NEC","134.1","1341"
134.20,"HIRUDINIASIS","134.2","1342"
134.80,"INFESTATION NEC","134.8","1348"
134.90,"INFESTATION NOS","134.9","1349"
135.00,"SARCOIDOSIS","135","135"
136.00,"AINHUM","136.0","1360"
136.10,"BEHCET'S SYNDROME","136.1","1361"
136.20,"FREE-LIVING AMEBA INFECT","136.2","1362"
136.30,"PNEUMOCYSTOSIS","136.3","1363"
136.40,"PSOROSPERMIASIS","136.4","1364"
136.50,"SARCOSPORIDIOSIS","136.5","1365"
136.80,"INFECT/PARASITE DIS NEC","136.8","1368"
136.90,"INFECT/PARASITE DIS NOS","136.9","1369"
137.00,"LATE EFFECT TB, RESP/NOS","137.0","1370"
137.10,"LATE EFFECT CNS TB","137.1","1371"
137.20,"LATE EFFECT GU TB","137.2","1372"
137.30,"LATE EFF BONE & JOINT TB","137.3","1373"
137.40,"LATE EFFECT TB NEC","137.4","1374"
138.00,"LATE EFFECT ACUTE POLIO","138","138"
139.00,"LATE EFF VIRAL ENCEPHAL","139.0","1390"
139.10,"LATE EFFECT OF TRACHOMA","139.1","1391"
139.80,"LATE EFF INFECT DIS NEC","139.8","1398"
140.00,"MAL NEO UPPER VERMILION","140.0","1400"
140.10,"MAL NEO LOWER VERMILION","140.1","1401"
140.30,"MAL NEO UPPER LIP, INNER","140.3","1403"
140.40,"MAL NEO LOWER LIP, INNER","140.4","1404"
140.50,"MAL NEO LIP, INNER NOS","140.5","1405"
140.60,"MAL NEO LIP, COMMISSURE","140.6","1406"
140.80,"MAL NEO LIP NEC","140.8","1408"
140.90,"MAL NEO LIP/VERMIL NOS","140.9","1409"
141.00,"MAL NEO TONGUE BASE","141.0","1410"
141.10,"MAL NEO DORSAL TONGUE","141.1","1411"
141.20,"MAL NEO TIP/LAT TONGUE","141.2","1412"
141.30,"MAL NEO VENTRAL TONGUE","141.3","1413"
141.40,"MAL NEO ANT 2/3 TONGUE","141.4","1414"
141.50,"MAL NEO TONGUE JUNCTION","141.5","1415"
141.60,"MAL NEO LINGUAL TONSIL","141.6","1416"
141.80,"MALIG NEO TONGUE NEC","141.8","1418"
141.90,"MALIG NEO TONGUE NOS","141.9","1419"
142.00,"MALIG NEO PAROTID","142.0","1420"
142.10,"MALIG NEO SUBMANDIBULAR","142.1","1421"
142.20,"MALIG NEO SUBLINGUAL","142.2","1422"
142.80,"MAL NEO MAJ SALIVARY NEC","142.8","1428"
142.90,"MAL NEO SALIVARY NOS","142.9","1429"
143.00,"MALIG NEO UPPER GUM","143.0","1430"
143.10,"MALIG NEO LOWER GUM","143.1","1431"
143.80,"MALIG NEO GUM NEC","143.8","1438"
143.90,"MALIG NEO GUM NOS","143.9","1439"
144.00,"MAL NEO ANT FLOOR MOUTH","144.0","1440"
144.10,"MAL NEO LAT FLOOR MOUTH","144.1","1441"
144.80,"MAL NEO MOUTH FLOOR NEC","144.8","1448"
144.90,"MAL NEO MOUTH FLOOR NOS","144.9","1449"
145.00,"MAL NEO CHEEK MUCOSA","145.0","1450"
145.10,"MAL NEO MOUTH VESTIBULE","145.1","1451"
145.20,"MALIG NEO HARD PALATE","145.2","1452"
145.30,"MALIG NEO SOFT PALATE","145.3","1453"
145.40,"MALIGNANT NEOPLASM UVULA","145.4","1454"
145.50,"MALIGNANT NEO PALATE NOS","145.5","1455"
145.60,"MALIG NEO RETROMOLAR","145.6","1456"
145.80,"MALIG NEOPLASM MOUTH NEC","145.8","1458"
145.90,"MALIG NEOPLASM MOUTH NOS","145.9","1459"
146.00,"MALIGNANT NEOPL TONSIL","146.0","1460"
146.10,"MAL NEO TONSILLAR FOSSA","146.1","1461"
146.20,"MAL NEO TONSIL PILLARS","146.2","1462"
146.30,"MALIGN NEOPL VALLECULA","146.3","1463"
146.40,"MAL NEO ANT EPIGLOTTIS","146.4","1464"
146.50,"MAL NEO EPIGLOTTIS JUNCT","146.5","1465"
146.60,"MAL NEO LAT OROPHARYNX","146.6","1466"
146.70,"MAL NEO POST OROPHARYNX","146.7","1467"
146.80,"MAL NEO OROPHARYNX NEC","146.8","1468"
146.90,"MALIG NEO OROPHARYNX NOS","146.9","1469"
147.00,"MAL NEO SUPER NASOPHARYN","147.0","1470"
147.10,"MAL NEO POST NASOPHARYNX","147.1","1471"
147.20,"MAL NEO LAT NASOPHARYNX","147.2","1472"
147.30,"MAL NEO ANT NASOPHARYNX","147.3","1473"
147.80,"MAL NEO NASOPHARYNX NEC","147.8","1478"
147.90,"MAL NEO NASOPHARYNX NOS","147.9","1479"
148.00,"MAL NEO POSTCRICOID","148.0","1480"
148.10,"MAL NEO PYRIFORM SINUS","148.1","1481"
148.20,"MAL NEO ARYEPIGLOTT FOLD","148.2","1482"
148.30,"MAL NEO POST HYPOPHARYNX","148.3","1483"
148.80,"MAL NEO HYPOPHARYNX NEC","148.8","1488"
148.90,"MAL NEO HYPOPHARYNX NOS","148.9","1489"
149.00,"MAL NEO PHARYNX NOS","149.0","1490"
149.10,"MAL NEO WALDEYER'S RING","149.1","1491"
149.80,"MAL NEO ORAL/PHARYNX NEC","149.8","1498"
149.90,"MAL NEO OROPHRYN ILL-DEF","149.9","1499"
150.00,"MAL NEO CERVICAL ESOPHAG","150.0","1500"
150.10,"MAL NEO THORACIC ESOPHAG","150.1","1501"
150.20,"MAL NEO ABDOMIN ESOPHAG","150.2","1502"
150.30,"MAL NEO UPPER 3RD ESOPH","150.3","1503"
150.40,"MAL NEO MIDDLE 3RD ESOPH","150.4","1504"
150.50,"MAL NEO LOWER 3RD ESOPH","150.5","1505"
150.80,"MAL NEO ESOPHAGUS NEC","150.8","1508"
150.90,"MAL NEO ESOPHAGUS NOS","150.9","1509"
151.00,"MAL NEO STOMACH CARDIA","151.0","1510"
151.10,"MALIGNANT NEO PYLORUS","151.1","1511"
151.20,"MAL NEO PYLORIC ANTRUM","151.2","1512"
151.30,"MAL NEO STOMACH FUNDUS","151.3","1513"
151.40,"MAL NEO STOMACH BODY","151.4","1514"
151.50,"MAL NEO STOM LESSER CURV","151.5","1515"
151.60,"MAL NEO STOM GREAT CURV","151.6","1516"
151.80,"MALIG NEOPL STOMACH NEC","151.8","1518"
151.90,"MALIG NEOPL STOMACH NOS","151.9","1519"
152.00,"MALIGNANT NEOPL DUODENUM","152.0","1520"
152.10,"MALIGNANT NEOPL JEJUNUM","152.1","1521"
152.20,"MALIGNANT NEOPLASM ILEUM","152.2","1522"
152.30,"MAL NEO MECKEL'S DIVERT","152.3","1523"
152.80,"MAL NEO SMALL BOWEL NEC","152.8","1528"
152.90,"MAL NEO SMALL BOWEL NOS","152.9","1529"
153.00,"MAL NEO HEPATIC FLEXURE","153.0","1530"
153.10,"MAL NEO TRANSVERSE COLON","153.1","1531"
153.20,"MAL NEO DESCEND COLON","153.2","1532"
153.30,"MAL NEO SIGMOID COLON","153.3","1533"
153.40,"MALIGNANT NEOPLASM CECUM","153.4","1534"
153.50,"MALIGNANT NEO APPENDIX","153.5","1535"
153.60,"MALIG NEO ASCEND COLON","153.6","1536"
153.70,"MAL NEO SPLENIC FLEXURE","153.7","1537"
153.80,"MALIGNANT NEO COLON NEC","153.8","1538"
153.90,"MALIGNANT NEO COLON NOS","153.9","1539"
154.00,"MAL NEO RECTOSIGMOID JCT","154.0","1540"
154.10,"MALIGNANT NEOPL RECTUM","154.1","1541"
154.20,"MALIG NEOPL ANAL CANAL","154.2","1542"
154.30,"MALIGNANT NEO ANUS NOS","154.3","1543"
154.80,"MAL NEO RECTUM/ANUS NEC","154.8","1548"
155.00,"MAL NEO LIVER, PRIMARY","155.0","1550"
155.10,"MAL NEO INTRAHEPAT DUCTS","155.1","1551"
155.20,"MALIGNANT NEO LIVER NOS","155.2","1552"
156.00,"MALIG NEO GALLBLADDER","156.0","1560"
156.10,"MAL NEO EXTRAHEPAT DUCTS","156.1","1561"
156.20,"MAL NEO AMPULLA OF VATER","156.2","1562"
156.80,"MALIG NEO BILIARY NEC","156.8","1568"
156.90,"MALIG NEO BILIARY NOS","156.9","1569"
157.00,"MAL NEO PANCREAS HEAD","157.0","1570"
157.10,"MAL NEO PANCREAS BODY","157.1","1571"
157.20,"MAL NEO PANCREAS TAIL","157.2","1572"
157.30,"MAL NEO PANCREATIC DUCT","157.3","1573"
157.40,"MAL NEO ISLET LANGERHANS","157.4","1574"
157.80,"MALIG NEO PANCREAS NEC","157.8","1578"
157.90,"MALIG NEO PANCREAS NOS","157.9","1579"
158.00,"MAL NEO RETROPERITONEUM","158.0","1580"
158.80,"MAL NEO PERITONEUM NEC","158.8","1588"
158.90,"MAL NEO PERITONEUM NOS","158.9","1589"
159.00,"MALIG NEO INTESTINE NOS","159.0","1590"
159.10,"MALIGNANT NEO SPLEEN NEC","159.1","1591"
159.80,"MAL NEO GI/INTRA-ABD NEC","159.8","1598"
159.90,"MAL NEO GI TRACT ILL-DEF","159.9","1599"
160.00,"MAL NEO NASAL CAVITIES","160.0","1600"
160.10,"MALIG NEO MIDDLE EAR","160.1","1601"
160.20,"MAL NEO MAXILLARY SINUS","160.2","1602"
160.30,"MAL NEO ETHMOIDAL SINUS","160.3","1603"
160.40,"MALIG NEO FRONTAL SINUS","160.4","1604"
160.50,"MAL NEO SPHENOID SINUS","160.5","1605"
160.80,"MAL NEO ACCESS SINUS NEC","160.8","1608"
160.90,"MAL NEO ACCESS SINUS NOS","160.9","1609"
161.00,"MALIGNANT NEO GLOTTIS","161.0","1610"
161.10,"MALIG NEO SUPRAGLOTTIS","161.1","1611"
161.20,"MALIG NEO SUBGLOTTIS","161.2","1612"
161.30,"MAL NEO CARTILAGE LARYNX","161.3","1613"
161.80,"MALIGNANT NEO LARYNX NEC","161.8","1618"
161.90,"MALIGNANT NEO LARYNX NOS","161.9","1619"
162.00,"MALIGNANT NEO TRACHEA","162.0","1620"
162.20,"MALIG NEO MAIN BRONCHUS","162.2","1622"
162.30,"MAL NEO UPPER LOBE LUNG","162.3","1623"
162.40,"MAL NEO MIDDLE LOBE LUNG","162.4","1624"
162.50,"MAL NEO LOWER LOBE LUNG","162.5","1625"
162.80,"MAL NEO BRONCH/LUNG NEC","162.8","1628"
162.90,"MAL NEO BRONCH/LUNG NOS","162.9","1629"
163.00,"MAL NEO PARIETAL PLEURA","163.0","1630"
163.10,"MAL NEO VISCERAL PLEURA","163.1","1631"
163.80,"MALIG NEOPL PLEURA NEC","163.8","1638"
163.90,"MALIG NEOPL PLEURA NOS","163.9","1639"
164.00,"MALIGNANT NEOPL THYMUS","164.0","1640"
164.10,"MALIGNANT NEOPL HEART","164.1","1641"
164.20,"MAL NEO ANT MEDIASTINUM","164.2","1642"
164.30,"MAL NEO POST MEDIASTINUM","164.3","1643"
164.80,"MAL NEO MEDIASTINUM NEC","164.8","1648"
164.90,"MAL NEO MEDIASTINUM NOS","164.9","1649"
165.00,"MAL NEO UPPER RESP NOS","165.0","1650"
165.80,"MAL NEO THORAX/RESP NEC","165.8","1658"
165.90,"MAL NEO RESP SYSTEM NOS","165.9","1659"
170.00,"MAL NEO SKULL/FACE BONE","170.0","1700"
170.10,"MALIGNANT NEO MANDIBLE","170.1","1701"
170.20,"MALIG NEO VERTEBRAE","170.2","1702"
170.30,"MAL NEO RIBS/STERN/CLAV","170.3","1703"
170.40,"MAL NEO LONG BONES ARM","170.4","1704"
170.50,"MAL NEO BONES WRIST/HAND","170.5","1705"
170.60,"MAL NEO PELVIC GIRDLE","170.6","1706"
170.70,"MAL NEO LONG BONES LEG","170.7","1707"
170.80,"MAL NEO BONES ANKLE/FOOT","170.8","1708"
170.90,"MALIG NEOPL BONE NOS","170.9","1709"
171.00,"MAL NEO SOFT TISSUE HEAD","171.0","1710"
171.20,"MAL NEO SOFT TISSUE ARM","171.2","1712"
171.30,"MAL NEO SOFT TISSUE LEG","171.3","1713"
171.40,"MAL NEO SOFT TIS THORAX","171.4","1714"
171.50,"MAL NEO SOFT TIS ABDOMEN","171.5","1715"
171.60,"MAL NEO SOFT TIS PELVIS","171.6","1716"
171.70,"MAL NEOPL TRUNK NOS","171.7","1717"
171.80,"MAL NEO SOFT TISSUE NEC","171.8","1718"
171.90,"MAL NEO SOFT TISSUE NOS","171.9","1719"
172.00,"MALIG MELANOMA LIP","172.0","1720"
172.10,"MALIG MELANOMA EYELID","172.1","1721"
172.20,"MALIG MELANOMA EAR","172.2","1722"
172.30,"MAL MELANOM FACE NEC/NOS","172.3","1723"
172.40,"MAL MELANOMA SCALP/NECK","172.4","1724"
172.50,"MALIG MELANOMA TRUNK","172.5","1725"
172.60,"MALIG MELANOMA ARM","172.6","1726"
172.70,"MALIG MELANOMA LEG","172.7","1727"
172.80,"MALIG MELANOMA SKIN NEC","172.8","1728"
172.90,"MALIG MELANOMA SKIN NOS","172.9","1729"
173.00,"MALIG NEO SKIN LIP","173.0","1730"
173.10,"MALIG NEO SKIN EYELID","173.1","1731"
173.20,"MALIG NEO SKIN EAR","173.2","1732"
173.30,"MAL NEO SKIN FACE NEC","173.3","1733"
173.40,"MAL NEO SCALP/SKIN NECK","173.4","1734"
173.50,"MALIG NEO SKIN TRUNK","173.5","1735"
173.60,"MALIG NEO SKIN ARM","173.6","1736"
173.70,"MALIG NEO SKIN LEG","173.7","1737"
173.80,"MALIG NEO SKIN NEC","173.8","1738"
173.90,"MALIG NEO SKIN NOS","173.9","1739"
174.00,"MALIG NEO NIPPLE","174.0","1740"
174.10,"MAL NEO BREAST-CENTRAL","174.1","1741"
174.20,"MAL NEO BREAST UP-INNER","174.2","1742"
174.30,"MAL NEO BREAST LOW-INNER","174.3","1743"
174.40,"MAL NEO BREAST UP-OUTER","174.4","1744"
174.50,"MAL NEO BREAST LOW-OUTER","174.5","1745"
174.60,"MAL NEO BREAST-AXILLARY","174.6","1746"
174.80,"MALIGN NEOPL BREAST NEC","174.8","1748"
174.90,"MALIGN NEOPL BREAST NOS","174.9","1749"
175.00,"MAL NEO MALE NIPPLE","175.0","1750"
175.90,"MAL NEO MALE BREAST NEC","175.9","1759"
176.00,"KAPOSI'S SARCOMA-SKIN","176.0","1760"
176.10,"KAPOSI SARCOMA-SOFT TISS","176.1","1761"
176.20,"KAPOSI'S SARCOMA-PALATE","176.2","1762"
176.30,"KAPOSI'S SARCOMA-GI TRCT","176.3","1763"
176.40,"KAPOSI'S SARCOMA-LUNG","176.4","1764"
176.50,"KAPOSI'S SARCOMA-LYMPH N","176.5","1765"
176.80,"KAPOSI SARCOMA-SITE NEC","176.8","1768"
176.90,"KAPOSI SARCOMA-SITE NOS","176.9","1769"
179.00,"MALIG NEOPL UTERUS NOS","179","179"
180.00,"MALIG NEO ENDOCERVIX","180.0","1800"
180.10,"MALIG NEO EXOCERVIX","180.1","1801"
180.80,"MALIG NEO CERVIX NEC","180.8","1808"
180.90,"MAL NEO CERVIX UTERI NOS","180.9","1809"
181.00,"MALIGNANT NEOPL PLACENTA","181","181"
182.00,"MALIG NEO CORPUS UTERI","182.0","1820"
182.10,"MAL NEO UTERINE ISTHMUS","182.1","1821"
182.80,"MAL NEO BODY UTERUS NEC","182.8","1828"
183.00,"MALIGN NEOPL OVARY","183.0","1830"
183.20,"MAL NEO FALLOPIAN TUBE","183.2","1832"
183.30,"MAL NEO BROAD LIGAMENT","183.3","1833"
183.40,"MALIG NEO PARAMETRIUM","183.4","1834"
183.50,"MAL NEO ROUND LIGAMENT","183.5","1835"
183.80,"MAL NEO ADNEXA NEC","183.8","1838"
183.90,"MAL NEO ADNEXA NOS","183.9","1839"
184.00,"MALIGN NEOPL VAGINA","184.0","1840"
184.10,"MAL NEO LABIA MAJORA","184.1","1841"
184.20,"MAL NEO LABIA MINORA","184.2","1842"
184.30,"MALIGN NEOPL CLITORIS","184.3","1843"
184.40,"MALIGN NEOPL VULVA NOS","184.4","1844"
184.80,"MAL NEO FEMALE GENIT NEC","184.8","1848"
184.90,"MAL NEO FEMALE GENIT NOS","184.9","1849"
185.00,"MALIGN NEOPL PROSTATE","185","185"
186.00,"MAL NEO UNDESCEND TESTIS","186.0","1860"
186.90,"MALIG NEO TESTIS NEC","186.9","1869"
187.10,"MALIGN NEOPL PREPUCE","187.1","1871"
187.20,"MALIG NEO GLANS PENIS","187.2","1872"
187.30,"MALIG NEO PENIS BODY","187.3","1873"
187.40,"MALIG NEO PENIS NOS","187.4","1874"
187.50,"MALIG NEO EPIDIDYMIS","187.5","1875"
187.60,"MAL NEO SPERMATIC CORD","187.6","1876"
187.70,"MALIGN NEOPL SCROTUM","187.7","1877"
187.80,"MAL NEO MALE GENITAL NEC","187.8","1878"
187.90,"MAL NEO MALE GENITAL NOS","187.9","1879"
188.00,"MAL NEO BLADDER-TRIGONE","188.0","1880"
188.10,"MAL NEO BLADDER-DOME","188.1","1881"
188.20,"MAL NEO BLADDER-LATERAL","188.2","1882"
188.30,"MAL NEO BLADDER-ANTERIOR","188.3","1883"
188.40,"MAL NEO BLADDER-POST","188.4","1884"
188.50,"MAL NEO BLADDER NECK","188.5","1885"
188.60,"MAL NEO URETERIC ORIFICE","188.6","1886"
188.70,"MALIG NEO URACHUS","188.7","1887"
188.80,"MALIG NEO BLADDER NEC","188.8","1888"
188.90,"MALIG NEO BLADDER NOS","188.9","1889"
189.00,"MALIG NEOPL KIDNEY","189.0","1890"
189.10,"MALIG NEO RENAL PELVIS","189.1","1891"
189.20,"MALIGN NEOPL URETER","189.2","1892"
189.30,"MALIGN NEOPL URETHRA","189.3","1893"
189.40,"MAL NEO PARAURETHRAL","189.4","1894"
189.80,"MAL NEO URINARY NEC","189.8","1898"
189.90,"MAL NEO URINARY NOS","189.9","1899"
190.00,"MALIGN NEOPL EYEBALL","190.0","1900"
190.10,"MALIGN NEOPL ORBIT","190.1","1901"
190.20,"MAL NEO LACRIMAL GLAND","190.2","1902"
190.30,"MAL NEO CONJUNCTIVA","190.3","1903"
190.40,"MALIGN NEOPL CORNEA","190.4","1904"
190.50,"MALIGN NEOPL RETINA","190.5","1905"
190.60,"MALIGN NEOPL CHOROID","190.6","1906"
190.70,"MAL NEO LACRIMAL DUCT","190.7","1907"
190.80,"MALIGN NEOPL EYE NEC","190.8","1908"
190.90,"MALIGN NEOPL EYE NOS","190.9","1909"
